date,account,daily_pnl,trades_count,win_count,avg_trade_size,avg_leverage,long_count,short_count,win_rate,long_short_ratio,daily_min_cum_pnl
2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,98269.195073,932,410,8098.078723175966,258.27741714512877,299,633,0.43991416309012876,0.47235387045738964,-9478.007510000018
2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,341945.434741,939,372,2123.4002662406815,-22041.97586615028,574,365,0.3961661341853035,1.572602739721719,0.0
2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,136208.043913,4885,3901,2330.3033080859777,-93404.00909810864,2321,2564,0.7985670419651996,0.9052262090480089,0.0
2025-02-19,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,1554,701,3643.361287001287,-456.75995555638355,687,867,0.4510939510939511,0.7923875432516813,-54.84976500000014
2025-02-19,0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,3056,879,2249.731112565445,-295500.8930834958,979,2077,0.28763089005235604,0.4713529128548525,35.631217
2025-02-19,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64510.169958,1802,613,6453.556398446171,-7678.7052217448445,1071,731,0.3401775804661487,1.4651162790677632,0.0
2025-02-19,0x8477e447846c758f5a675856001ea72298fd9cb5,46257.358187,5602,1722,658.3625776508391,-25058.787873868296,2453,3149,0.30739021777936454,0.7789774531594859,-21.849291
2025-02-19,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,100502.420808,2080,812,3430.149134615385,-61749.97581364531,1218,862,0.3903846153846154,1.4129930394415162,-1.4899460000000002
2025-02-19,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,40314.808014,9274,2968,1157.8793541082598,4617.014281731723,6130,3144,0.32003450506793185,1.9497455470731713,0.0
2025-02-19,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,19451.742477,95,84,820.6771578947369,98710.90310229201,0,95,0.8842105263157894,0.0,34.770377
2025-02-19,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8751.751449,182,49,3072.9576923076925,303948.3097802198,133,49,0.2692307692307692,2.714285714230321,0.0
2025-02-19,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21703.816512999998,525,170,8441.060742857142,2.0832908923123807,297,228,0.3238095238095238,1.3026315789416552,3.43
2025-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,553818.000465,7380,2886,1818.587241192412,16761.656922021317,3477,3903,0.3910569105691057,0.8908531898537303,147.38463
2025-02-19,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,2122,22504.555828854896,31.90497553947913,2368,2470,0.4386109962794543,0.9587044534409074,-62997.48374899995
2025-02-19,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,21190,9907,3210.7751864086836,98590.69078165804,11195,9995,0.46753185464841907,1.1200600300148953,0.0
2025-02-19,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,325441.97721599997,2211,823,8103.972912709181,-84569.43281770249,1054,1157,0.3722297602894618,0.9109766637848652,-41608.381417
2025-02-19,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,126967.976166,26651,10257,1554.8373344339798,3154.141629830895,12568,14083,0.3848636073693295,0.8924234893132932,0.0
2025-06-15,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,10179.147366,3427,1516,1533.4683950977533,1371.033480413627,1382,2045,0.44236941931718704,0.6757946210265644,0.0
2025-06-15,0x271b280974205ca63b716753467d5a371de622ab,-102199.279749,2663,657,8025.783559894856,-14659.847507981507,1055,1608,0.246714232069095,0.6560945273627761,-116419.73430800003
2025-06-15,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,149.33286900000002,45,26,97.98177777777778,1047.2647595642225,7,38,0.5777777777777777,0.18421052631094184,0.0
2025-06-15,0x2c229d22b100a7beb69122eed721cee9b24011dd,30.02094,5,3,542.1279999999999,1045.72,2,3,0.6,0.6666666664444444,0.0
2025-06-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-3499.0325470000002,198,189,1218.5765151515152,28396.820102473233,8,190,0.9545454545454546,0.042105263157673135,-3501.337676
2025-06-15,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,186,0,1365.6282795698924,-127401.82258064517,0,186,0.0,0.0,0.0
2025-06-15,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1378.073027,179,64,368.8205586592179,-4392.136581479447,68,111,0.3575418994413408,0.6126126126070935,40.48721
2025-06-15,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,3343.0556109999998,222,98,11511.476621621621,-295356.71867527027,135,87,0.44144144144144143,1.5517241379131985,0.0
2025-06-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,7687.978187,105,52,17592.19438095238,-0.8406705714285714,42,63,0.49523809523809526,0.6666666666560846,4.67238
2025-06-15,0x513b8629fe877bb581bf244e326a047b249c4ff1,436920.907007,6236,2508,41153.69550032072,3899.0862694307248,3499,2737,0.4021808851828095,1.278407014979438,0.0
2025-06-15,0x6d6a4b953f202f8df5bed40692e7fd865318264a,212.60187,153,17,568.6079738562091,-1005.9265779738562,17,136,0.1111111111111111,0.12499999999908089,0.0
2025-06-15,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,3540.3708500000002,456,36,1386.494692982456,12563.651315789473,195,261,0.07894736842105263,0.7471264367787467,-294.01443999999475
2025-06-15,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,9328.49,72,54,1269.3402777777778,-40797.914079166665,54,18,0.75,2.9999999998333333,-4996.734674000001
2025-06-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,17518.784011,945,780,1134.6507724867724,-132149.4034920635,651,294,0.8253968253968254,2.2142857142781827,0.0
2025-06-15,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,119.0,5,4,36540.202000000005,-0.5548420000000001,4,1,0.8,3.9999999959999997,0.0
2025-06-15,0x8170715b3b381dffb7062c0298972d4727a0a63b,-363924.917628,1530,882,2113.4516666666664,-679021.357124183,1268,262,0.5764705882352941,4.839694656470078,-383779.7593470001
2025-06-15,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,991.770272,55,16,5808.497454545454,131.24307913927274,37,18,0.2909090909090909,2.055555555441358,-33.82248
2025-06-15,0x8477e447846c758f5a675856001ea72298fd9cb5,-33193.569796,3782,382,843.5024510840825,-2181787.491317237,2180,1602,0.10100475938656796,1.3607990012475901,-33193.569796000054
2025-06-15,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,17381.164,248,4,6983.216774193548,623492.0894758065,244,4,0.016129032258064516,60.99999998475,0.0
2025-06-15,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,16807.35236,2120,665,1056.7010613207547,1614.693273822084,1455,665,0.3136792452830189,2.18796992480874,2.866384
2025-06-15,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,38168.35486,191,76,2484.57057591623,233207.55261780103,115,76,0.39790575916230364,1.513157894716932,0.0
2025-06-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,102460.17164,323,57,1989.5179256965946,-28086.83452012384,57,266,0.17647058823529413,0.2142857142849087,0.0
2025-06-15,0xbaaaf6571ab7d571043ff1e313a9609a10637864,6.593538,2,2,7.0200000000000005,0.46499999999999997,0,2,1.0,0.0,4.733218
2025-06-15,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,-116594.595363,163,1,12832.663680981595,-4595.350574233128,90,73,0.006134969325153374,1.2328767123118782,-116594.595363
2025-06-15,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,24897.574309,3650,1325,1658.11421369863,-6095.8093312262,1753,1897,0.363013698630137,0.9240906694776362,0.0
