account,date,sentiment_num,rol_trades_7,rol_leverage_7,rol_winrate_7,rol_size_7,rol_trades_14,rol_leverage_14,rol_winrate_14,rol_pnl_7,target_next_profitable
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-06-15,0.0,1079.6666666666667,259565.09895856644,0.5360783250847444,2229.6514397989154,1079.6666666666667,259565.09895856644,0.5360783250847444,56219.334998,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,1.0,3.0,0.0919333333333333,0.0,159.0,3.0,0.0919333333333333,0.0,0.0,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,1.0,2.5,0.05440416666666665,0.0,11612.9675,2.5,0.05440416666666665,0.0,0.0,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,0.0,10.666666666666666,128.30013018518517,0.1111111111111111,8758.176481481481,10.666666666666666,128.30013018518517,0.1111111111111111,-1854.6720466666666,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,0.0,28.0,32281.88791182364,0.10833333333333334,6760.444298611112,28.0,32281.88791182364,0.10833333333333334,-1337.0653355,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,1.0,53.6,48323.53320738039,0.18025641025641023,5924.989451709402,53.6,48323.53320738039,0.18025641025641023,6329.021933800001,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-1.0,102.83333333333333,41273.56963738114,0.19414872774471625,5212.250799060605,102.83333333333333,41273.56963738114,0.19414872774471625,-4617.4279065,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-06-15,0.0,116.42857142857143,39434.03398953715,0.30277683157339313,4641.725901359306,116.42857142857143,39434.03398953715,0.30277683157339313,-4457.657140857143,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,1.0,144.0,204.7361508970139,0.5277777777777778,4554.800138888889,144.0,204.7361508970139,0.5277777777777778,34983.381862,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-1.0,1794.5,-79621.88713098866,0.4235405579745203,4677.615483087406,1794.5,-79621.88713098866,0.4235405579745203,7228.459668000001,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,1.0,191.0,7784.231520560209,0.4136125654450261,2786.4265445026176,191.0,7784.231520560209,0.4136125654450261,7612.618288,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,-1.0,166.0,10507.217790941937,0.4869481266941443,3562.32316586833,166.0,10507.217790941937,0.4869481266941443,26748.1236215,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,1.0,125.0,-2392.0236192,0.216,6480.62816,125.0,-2392.0236192,0.216,16102.56859,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,-1.0,191.5,-2749.116382178134,0.23009302325581393,5522.192161395349,191.5,-2749.116382178134,0.23009302325581393,99752.79636600001,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,88.0,395961.0681818182,0.0,1136.3127272727272,88.0,395961.0681818182,0.0,0.0,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,0.0,168.5,225856.68753087978,0.4759036144578313,1448.1331106243156,168.5,225856.68753087978,0.4759036144578313,72781.724187,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,1.0,126.66666666666667,156785.93459985784,0.6118427197160736,3212.9953295634973,126.66666666666667,156785.93459985784,0.6118427197160736,102004.655493,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,-1.0,262.75,123226.30690369368,0.5795973900106022,3111.6620970235917,262.75,123226.30690369368,0.5795973900106022,104135.46808525,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,0.0,247.4,73100.68100682591,0.46367791200848174,2762.455333532852,247.4,73100.68100682591,0.46367791200848174,83308.3744682,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,1.0,3711.0,-5410.746021741641,0.3381837779574239,494.23683912692,3711.0,-5410.746021741641,0.3381837779574239,69282.42904,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,-1.0,4170.0,-3766.069658887002,0.35185274445505665,518.0945601985864,4170.0,-3766.069658887002,0.35185274445505665,50982.821567,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-06-15,0.0,2839.6666666666665,-3974.758633084484,0.3537491294504847,468.33655968546356,2839.6666666666665,-3974.758633084484,0.3537491294504847,34447.905387,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,1.0,328.0,97885.34152439024,0.4115853658536585,8444.161189024391,328.0,97885.34152439024,0.4115853658536585,61076.167808,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,-1.0,2067.0,71906.12839157232,0.45342799559104363,8721.255130770734,2067.0,71906.12839157232,0.45342799559104363,337201.997516,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-06-15,0.0,1452.0,-50514.82063070854,0.4494324775411762,9651.328961054363,1452.0,-50514.82063070854,0.4494324775411762,225915.68354766667,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,0.0,730.0,3.909650684931507,0.3068493150684931,6219.798493150685,730.0,3.909650684931507,0.3068493150684931,-7919.471032000002,0
